,global_id,Number,Cells
91,2449492652,92,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '12:08', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '12:57', 'global_id': 2449492652}"
92,2449492653,93,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '12:38', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '13:27', 'global_id': 2449492653}"
93,2449492656,94,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '13:18', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '14:07', 'global_id': 2449492656}"
94,2449492658,95,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '13:48', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '14:37', 'global_id': 2449492658}"
95,2449492660,96,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '14:28', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '15:17', 'global_id': 2449492660}"
96,2449492661,97,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '14:58', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '15:48', 'global_id': 2449492661}"
97,2449492664,98,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '15:38', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '16:28', 'global_id': 2449492664}"
98,2449492665,99,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '16:08', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '17:02', 'global_id': 2449492665}"
99,2449492667,100,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '16:48', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '17:38', 'global_id': 2449492667}"
100,2449492669,101,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '17:18', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '18:12', 'global_id': 2449492669}"
101,2449492671,102,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '17:58', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '18:48', 'global_id': 2449492671}"
102,2449492674,103,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '18:28', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '19:18', 'global_id': 2449492674}"
103,2449492676,104,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '19:08', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '20:02', 'global_id': 2449492676}"
104,2449492678,105,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '19:38', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '20:28', 'global_id': 2449492678}"
105,2449492680,106,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '20:18', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '21:08', 'global_id': 2449492680}"
106,2449492681,107,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '20:48', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '21:35', 'global_id': 2449492681}"
107,2449492684,108,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '21:28', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '22:14', 'global_id': 2449492684}"
108,2449492686,109,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '22:03', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '22:54', 'global_id': 2449492686}"
109,2449492687,110,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '22:35', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '23:28', 'global_id': 2449492687}"
110,2449492690,111,"{'StationStart': 'Белорусский вокзал', 'Line': 'В Шереметьево', 'TimeStart': '23:18', 'StationEnd': 'Аэропорт Шереметьево', 'TimeEnd': '00:08', 'global_id': 2449492690}"
